title,processed_synopsis
Shoplifters,margin tokyo dysfunct band outsid unit fierc loyalti penchant petti theft young son arrest secret expos upend tenuous exist
M,classic german thriller han beckert peter lorr serial killer prey children becom focus massiv berlin polic manhunt beckert heinous crime repel disrupt citi life even target other seedi underworld network cop crimin pursuit murder soon realiz peopl trail send tens panick attempt escap justic
The 400 Blows,young parisian boy antoin doinel léaud life one difficult situat anoth surround inconsider adult includ neglect parent clair maurier albert remi antoin spend day best friend rene patrick auffray tri plan better life one scheme goe awri antoin end troubl law lead even conflict unsympathet author figur
Rashomon,brim action incis examin natur truth rashomon perhap finest film ever investig philosophi justic ingeni use camera flashback kurosawa reveal complex human natur four peopl recount differ version stori man murder rape wife
Army in the Shadows,adapt book joseph kessel paint underst unglamor portrait french resist world world ii betray inform philipp gerbier lino ventura find trap tortur nazi prison camp though gerbier escap rejoin resist occupi marseill franc exact reveng inform must continu quiet seem endless battl nazi atmospher tension paranoia distrust
Tokyo Story,elder shukishi chishu ryu wife tomi chieko higashiyama take long journey small seasid villag visit adult children tokyo elder son koichi sô yamamura doctor daughter shige haruko sugimura hairdress much time spend age parent fall noriko setsuko hara widow younger son kill war keep compani
Potemkin,fed rancid meat sailor potemkin revolt harsh condit led vakulinchuk aleksandr antonov sailor kill offic ship gain freedom vakulinchuk also kill peopl odessa honor symbol revolut tsarist soldier arriv massacr civilian quell upris squadron ship sent overthrow potemkin ship side revolt refus attack
The Wages of Fear,south american jungl suppli nitroglycerin need remot oil field oil compani pay four men deliv suppli two truck tens rivalri develop two set driver rough remot road slightest jolt result death
Open City,rome giorgio manfredi one leader resist track nazi goe friend francesco ask pina francesco fianc help pina must warn priest pietro pellegrini giorgio need leav town soon possibl
The Umbrellas of Cherbourg,genevièv catherin deneuv beauti young frenchwoman work boutiqu sell umbrella fall dash mechan guy nino castelnuovo brief romanc interrupt guy draft serv algerian war though pregnant guy genevièv marri older businessman roland marc michel begin move life throughout music film charact dialogu convey song
Nights of Cabiria,magnific giulietta masina fellini wife play etern optimist rome streetwalk heart gold head cotton candi husband masterpiec funni poignant classic inspir music sweet chariti fellini fan
La dolce vita,federico fellini laud italian film restless report marcello rubini marcello mastroianni drift life rome marcello contend overdos taken girlfriend emma yvonn furneaux also pursu heiress maddalena anouk aimé movi star sylvia anita ekberg embrac carefre approach live despit hedonist attitud marcello moment quiet reflect result intrigu cinemat charact studi
Let the Right One In,oskar kåre hedebr sensit bulli boy live mother suburban sweden meet new neighbor mysteri moodi eli lina leandersson strike friendship initi reserv oskar eli slowli form close bond soon becom appar ordinari young girl eventu eli share dark macabr secret oskar reveal connect string bloodi local murder
Balthazar,thought uniqu french film reveal surpris deep connect mari ann wiazemski sensit farm girl cherish donkey balthazar though mari balthazar eventu separ get older tale follow young woman donkey contend hardship world although mari balthazar often encount cruelti various peopl meet also find small moment beauti
The Passion of Joan of Arc,classic silent age film tell stori doom ultim canon teenag warrior trial claim spoken god jeann rene falconetti subject inhuman treatment scare tactic hand church court offici eugen silvain jean initi bulli chang stori jeann eventu opt see truth punish famous brutal execut earn perpetu martyrdom
The Conformist,marcello clerici trintign member secret polic mussolini fascist itali new bride giulia stefania sandrelli travel pari honeymoon marcello also plan assassin former colleg professor luca quadri enzo tarascio outspoken live exil marcello meet professor young wife anna dominiqu sanda romant polit loyalti test
The Discreet Charm of the Bourgeoisie,ambassador latin american republ miranda fernando rey thevenot paul frankeur wife simon delphin seyrig sister florenc bull ogier arriv dinner parti hous alic sénéchal stéphane audran husband henri cassel learn mistaken date director lui buñuel surreal fantasi six bourgeoi friend repeat gather dinner never quit arriv
Faces Places,director agnè varda photograph muralist jr journey rural franc form unlik friendship
A Separation,nader payman maadi bank employe refus leav tehran wife simin leila hatami sue divorc hope make better life young daughter abroad need someon care senil father work nader hire razieh sareh bayat marri woman whose chador hide pregnanc one day becom angri razieh nader shove miscarriag lead razieh husband take nader court
Things to Come,passion philosophi professor isabell huppert rethink alreadi life unforeseen divorc
Song of the Road,impoverish priest harihar ray kanu bannerje dream better life famili leav rural bengal villag search work alon wife sarbojaya karuna bannerje look rebelli daughter durga uma das gupta young son apu subir bannerje well harihar elder aunt indir chunibala devi children enjoy small pleasur difficult life parent suffer daili indign heap upon
The Salesman,flat becom damag emad shahab hosseini rana taraneh alidoosti young coupl live tehran iran must move anoth apart reloc sudden erupt violenc link previous tenant new home dramat chang live creat simmer tension husband wife
8 1/2,troubl italian filmmak guido anselmi marcello mastroianni struggl creativ stasi attempt get new movi ground overwhelm work person life director retreat thought often focus love past present frequent wander fantast territori tri sort mani entangl romant otherwis anselmi find product becom autobiograph
Tampopo,two japanes driver tsutomu yamazaki ken watanab help restaur owner nobuko miyamoto learn cook great noodl
Gloria,age divorce paulina garcía embark intens affair man sergio hernández pick disco
Ikiru,watanab sudden find termin cancer vow make final day meaning attempt communic anguish son lead heartbreak final inspir unselfish turn effort bring happi other build playground dreari slum neighborhood park final complet abl face death peac accept
Eyes Without a Face,génessier pierr brasseur riddl guilt accid caus disfigur face daughter beauti christian édith scob outsid believ dead génessier along accomplic laboratori assist louis alida valli kidnap young women bring génessier mansion render victim unconsci génessier remov face attempt graft christian
Amy,archiv footag person testimoni present intim portrait life career british ami winehous
The Leopard,garibaldi troop begin unif itali 1860s aristocrat sicilian famili grudg adapt sweep social chang undermin way life proud pragmat princ fabrizio salina burt lancast allow war hero nephew tancredi alain delon marri angelica claudia cardinal beauti daughter gauch bourgeoi calogero order maintain famili accustom level comfort polit clout
The Tale of the Princess Kaguya,tini nymph found insid bamboo stalk grow beauti desir young woman order suitor prove love complet seri task
A Fantastic Woman,transgend singer face scorn discrimin sudden death older boyfriend
Children of Paradise,expans drama love enigmat parisian actress garanc arletti draw attent various men orbit includ thought mime baptist barrault ambiti actor frédérick pierr brasseur though garanc baptist undeni connect fortun shift consider push apart well bring back togeth even pursu relationship lead separ live
Three Colors: Red,model valentin irèn jacob meet retir judg trintign live neighborhood run dog first judg gift valentin dog possess boyfriend wo allow keep return dog judg hous discov listen neighbor phone convers first valentin outrag debat judg behavior soon lead form strang bond
BPM (Beats Per Minute),nathan young man join aid activist group 1990s pari attend week meet learn member prefer radic approach protest
Sing Street,1985 dublin teenag ferdia form rock roll band win heart aspir model luci boynton
Burning,run girl live neighborhood ask watch cat town return introduc ben man met trip ben proceed tell hobbi
Playtime,clumsi monsieur hulot jacqu tati find perplex intimid complex pari attempt meet busi contact soon becom lost roundabout journey parallel american tourist barbara dennek weav invent urban environ intermitt meet develop interest one anoth eventu get togeth chaotic restaur along sever quirki charact
The Blue Angel,prim educ immanuel rath emil jan find student ogl raci photo cabaret perform lola lola marlen dietrich visit local club blue angel attempt catch see lola perform teacher driven mad lust eventu resign posit school marri belov howev marri life woman whose job make men desir prove difficult rath imagin
God's Own Country,young farmer numb frustrat drink casual sex romanian migrant worker set new path
The Red Circle,french crimin corey alain delon get releas prison resolv never return quick pull back underworld howev chanc encount escap murder vogel gian maria volont along former policeman current alcohol jansen yves montand plot intric jewel heist quirki polic commission mattei bourvil one lose custodi vogel determin find
Loveless,estrang russian coupl go brutal divorc new partner want start son disappear wit one fight
The Rules of the Game,melancholi french social satir andré roland toutain affair christin nora gregor whose husband robert marcel dalio hide mistress meanwhil christin marri maid lisett paulett dubost romant entangl local poacher hunt parti trust friend octav jean renoir also confess feel christin passion servant aristocrat danger collid
Gett: The Trial of Viviane Amsalem,isra woman ronit elkabetz fight three year obtain divorc devout husband simon abkarian refus grant permiss dissolv marriag
Wings of Desire,two angel damiel bruno ganz cassiel otto sander glide street berlin observ bustl popul provid invis ray hope distress never interact damiel fall love lone trapez artist marion solveig dommartin angel long experi life physic world find word wisdom actor peter falk play might possibl take human form
The Road,gelsomina giulietta masina naïv young woman purchas impoverish mother brutish circus strongman zampanò anthoni quinn wife partner loyal endur husband cold abus travel italian countrysid perform togeth soon zampanò must deal jealousi conflict feel gelsomina find kindr spirit il matto richard basehart carefre circus fool contempl leav zampanò
Toni Erdmann,film maren ade
The Young Girls of Rochefort,delphin catherin deneuv solang françois dorléac twin sister want find romanc leav small seasid town rochefort franc soon befriend coupl visit carniv worker frequent lone mother daniell darrieux café hire girl sing carniv want career songwrit solang fall american musician andi gene kelli delphin dump beau search rochefort ideal man
Timbuktu,malian cattleman ibrahim ahm famili face wrath islam fundamentalist tragic accid
Jiro Dreams of Sushi,rever sushi chef jiro ono strive perfect work eldest son yoshikazu troubl live father legaci
Border,custom offic tina known extraordinari sens smell almost sniff guilt anyon hide someth vore man walk past abil challeng first time ever tina sens vore hide someth ca identifi even wors feel strang attract tina develop special bond vore discov true ident also realiz truth
Still Walking,twelv year belov eldest son junpei drown save stranger life kyohei yoshio harada toshiko kirin kiki welcom surviv children home famili reunion younger son ryota hiroshi abe still feel parent resent one die new wife yukari yui natsukawa awkward meet rest famili first time daughter chinami strain fill uncomfort paus forc cheer
All About My Mother,greek say state women wash eye tear see clear say hold true manuela night car ran son esteban manuela cri eye ran complet dri far see clear present futur becom mix dark begin look father becom transvestit
Poetry,end life woman search new mean
The Band's Visit,eight egyptian musician compris alexandria ceremoni polic orchestra arriv mistak small town israel negev desert book set differ citi transport town hotel stay band settl restaur own dina ronit elkabetz offer lodg overcom ethnic barrier egyptian find divers companionship isra pervad undercurr share melancholi
The Seventh Seal,disillus swedish knight antonius block max von sydow return home crusad find countri grip black death challeng death bengt ekerot chess match life torment belief god exist block set journey meet travel player jof nil popp wife mia bibi andersson becom determin evad death long enough commit one redempt act still live
Waste Land,locat outsid rio de janeiro jardim gramacho brazil world largest garbag landfil modern artist vik muniz work catador men women pick refus creat art recycl materi muniz select six garbag picker pose subject seri photograph mimick famous paint desir assist catador chang live muniz find chang well
The Taste of Others,castella bacri success businessman caught behind time boredom interest allow wife angliqu christian millet drag perform racin bérénice much surpris overwhelm power beauti lead actress clara ann alvaro final two polar opposit forc togeth castella tri learn english english teacher turn clara
Godzilla,behemoth terror japan atom bomb awaken sleep
Amour,retir music teacher georg trintign ann emmanuell riva spent live devot career relationship face greatest challeng ann suffer debilit stroke though georg suffer ach infirm old age brave ignor discomfort take care wife determin keep promis never go back hospit
Embrace of the Serpent,earli 1900s young shaman nilbio torr colombian amazon help sick german explor jan bijvoet local guid miguel dionisio ramo search rare heal plant
After the Storm,dissolut privat detect hiroshi abe attempt reconnect distrust famili follow death father
The Vanishing,rex gene bervoet saskia johanna ter steeg enjoy bike holiday franc stop gas station saskia disappear confound rex search everywher avail three year later still obsess find plead case televis put poster ruin new relationship process eventu unassum chemistri teacher raymond donnadieu approach rex intim know happen
Afghan Star,director havana mark dive boom still young grow world pop cultur afghanistan newli liber 30 year stifl taliban rule countri taken fervor express documentari follow four contest includ two women audit sing compet countrywid american idol competit call pop idol mark uncov wonder vibrant communiti also surpris accept
Transit,new masterwork director phoenix barbara film christian petzold
Project Nim,1970s professor herb terrac team rais babi chimp human child part experi intend break languag barrier anim peopl
Blue,juli juliett binoch haunt grief live tragic auto wreck claim life compos husband young daughter initi reaction withdraw relationship lock apart suppress pain avoid human interact bustl street pari prove imposs eventu meet olivi benoît régent old friend harbor secret love could draw back realiti
Elevator to the Gallows,restless femm fatal florenc carala jeann moreau recruit lover julien taverni mauric ronet murder wealthi husband simon jean wall offic make appear like suicid taverni dirti deed eager becom trap elev return remov key piec evid accident left behind taverni unfortun oversight set motion dark rippl event bloodi cold pari night
Monsieur Lazhar,recent emigr fellag algeria take canadian classroom teacher tragic death
Darbareye Elly,young teacher disappear introduc potenti suitor northern iran
Fireworks Wednesday,upon hear engag housekeep roohi taraneh alidoosti housewif mozhd hedy tehrani send betroth enjoy free servic local salon provid eavesdrop verifi suspicion wealthi husband morteza hamid farokhnezhad affair misguid attempt mend samiei imposs broken marriag roohi ignor mozhd instruct naiv meddl may throw coupl even deeper turmoil
The Class,francoi marin françoi bégaudeau french languag literatur teacher pari high school new school year begin introduc new class begin arduous process reach marin encount share problem student teen violenc ethnic tension classmat educ barrier within group test patienc import resolv educ
Last Train Home,annual estim 130 million factori worker china migrat citi employ back villag grew documentari spotlight marri coupl chen zhang make journey chen zhang must struggl reconnect children see year discov daughter decid drop school work factori begin question valu sacrific
Maria Full of Grace,colombian maria catalina sandino moreno desper pregnant larg famili care forc leav demand job alterc boss need work soon possibl encount charm franklin john álex toro offer danger job drug mule cocain pellet stomach maria fli new york drug find new line work may far riskier initi seem
The Look of Silence,optician confront men kill brother never knew 1960s indonesian genocid
My Left Foot,one expect much christi brown daniel boy cerebr palsi born irish famili though christi spastic quadripleg essenti paralyz miracul event occur age 5 demonstr control left foot use chalk scrawl word floor help steeli mother brenda fricker shortag grit determin christi overcom infirm becom painter poet author
Nostalgia for the Light,chile atacama desert widow search bone love one left pinochet atroc
Throne of Blood,return lord castl samurai warrior washizu toshirô mifun miki minoru chiaki waylaid spirit predict futur first part spirit propheci come true washizu scheme wife asaji isuzu yamada press speed rest spirit propheci murder lord usurp place director akira kurosawa reset william shakespear macbeth feudal japan one acclaim film
A Prophet,acclaim crime drama follow malik el djebena tahar rahim delinqu young muslim man struggl get french prison taken wing power corsican mob boss cesar luciani niel arestrup begin perform regular assign prove invalu impos crimin malik rise mob rank gain power also enemi situat eventu bring conflict mentor
Mafioso,antonio travel sicili wife children meet famili earn favor local mobster send find enemi mob new york
Solaris,psychologist sent space station orbit planet call solari investig death doctor mental problem cosmonaut station soon discov water planet type brain bring repress memori obsess
The Kid with a Bike,abandon father young boy thoma doret begin act anger despit best effort kindheart caretak cécile de franc
My Beautiful Laundrette,seedi corner london omar gordon warneck young pakistani given laundromat uncl saeed jaffrey hope turn success busi soon omar attack group racist punk defus situat realiz leader former lover johnni daniel men resum relationship rehabilit laundromat togeth various social forc threaten compromis success
Moolaadé,fear endur genit mutil group girl flee purif ceremoni take refug collé fatoumata coulibali woman spare daughter fate collé cast spell protect girl caus much constern among among villag elder retali confisc radio women villag demand spell broken collé nevertheless hold fast
It Happened One Night,frank capra acclaim romant comedi spoil heiress elli andrew claudett colbert impetu marri scheme king westley lead tycoon father walter connolli spirit away yacht jump ship elli fall cynic newspap report peter warn clark gabl offer help reunit new husband exchang exclus stori travel report find fall feisti young heiress
Citizen Kane,report assign deciph newspap magnat charl foster kane orson well die word investig gradual reveal fascin portrait complex man rose obscur stagger height though kane friend colleagu jedediah leland joseph cotten mistress susan alexand dorothi comingor shed fragment light kane life report fear may never penetr mysteri elus man final word rosebud
Casablanca,rick blain humphrey bogart own nightclub casablanca discov old flame ilsa ingrid bergman town husband victor laszlo paul henreid laszlo fame rebel german tail ilsa know rick help get countri
The Wizard of Oz,tornado rip kansa dorothi judi garland dog toto whisk away hous magic land oz follow yellow brick road toward emerald citi meet wizard en rout meet scarecrow ray bolger need brain tin man jack haley miss heart coward lion bert lahr want courag wizard ask group bring broom wick witch west margaret hamilton earn help
All About Eve,backstag stori revolv around aspir actress eve harrington tatter forlorn eve show dress room broadway margo chan tell melancholi life stori margo friend margo take eve wing appear eve conniv use margo
Rebecca,stori young woman marri fascin widow find must live shadow former wife rebecca die mysteri sever year earlier young wife must come grip terribl secret handsom cold husband max de winter laurenc olivi must also deal jealous obsess danver judith anderson housekeep accept mistress hous
Modern Times,comed masterpiec find icon littl tramp charli chaplin employ factori inescap machineri complet overwhelm various mishap keep get sent prison various jail stint meet befriend orphan girl paulett goddard togeth apart tri contend difficulti modern life tramp work waiter eventu perform
A Night at the Opera,marx brother run amuck world opera oti driftwood groucho marx meet aspir singer ricardo allan jone determin win love fellow perform rosa kitti carlisl aid fiorello chico marx tomasso harpo marx oti attempt unit young coupl face opposit preen star lassparri walter woolf king also sight rosa travel itali new york oti friend ralli tri win day
The Third Man,set postwar vienna austria third man star joseph cotten holli martin writer pulp western arriv penniless guest childhood chum harri lime orson well find dead martin develop conspiraci theori learn third man present time harri death run interfer british offic calloway trevor howard fall harri lover anna alida valli
Singin' in the Rain,spoof turmoil afflict movi industri late 1920s movi went silent sound two silent movi star lockwood lina lamont latest movi made music chorus girl brought dub lina speak sing top world lina find
All Quiet on the Western Front,film follow group german schoolboy talk enlist begin world war jingoist teacher stori told entir experi young german recruit highlight tragedi war eye individu
On the Waterfront,dockwork terri malloy marlon brando boxer power local mob boss johnni friend lee cobb persuad throw fight longshoreman murder testifi friend control hoboken waterfront terri team dead man sister edi eva mari saint streetwis priest father barri karl malden testifi advic friend lawyer terri older brother charley rod steiger
The Kid,chaplin first featur silent masterpiec littl tramp discov littl orphan bring left desol orphanag reclaim chaplin direct produc star film well compos score
Psycho,phoenix secretari marion crane janet leigh lam steal employ order run away boyfriend sam loomi john gavin overcom exhaust heavi rainstorm travel back road avoid polic stop night ramshackl bate motel meet polit high strung proprietor norman bate anthoni perkin young man interest taxidermi difficult relationship mother
Laura,one celebr 1940s film noir manhattan detect mark mcpherson dana andrew investig murder madison avenu execut laura hunt gene tierney fashion apart trail murder mcpherson quizz laura arrog best friend gossip columnist waldo lydeck clifton webb compar mild fiancé shelbi carpent vincent price detect grow obsess case find fall love dead woman
Shadow of a Doubt,uncl charli joseph cotten visit relat santa rosa charm man niec slowli realiz want murder soon recogn suspicion although one suspect murder kill case consid close still suspicion
Sunset Blvd.,age silent film queen refus accept stardom end hire young screenwrit help set movi comeback screenwrit believ manipul soon find wrong screenwrit ambival relationship unwilling let go lead situat violenc mad death
A Hard Day's Night,beatl featur film debut one greatest comedi adventur ever film fulli restor negat digit restor soundtrack film take style follow day life john paul georg ringo fame take storm
Top Hat,stori center wealthi dale tremont ginger roger holiday london venic assum american entertain jerri traver fred astair husband friend madg helen broderick actual wife jerri busi manag horac hardwick edward everett horton
North by Northwest,classic suspens film find new york citi ad execut roger thornhil cari grant pursu ruthless spi phillip vandamm jame mason thornhil mistaken govern agent hunt relentless vandamm associ harri thornhil end journey meet beauti mysteri eve kendal eva mari saint along way soon vandamm henchmen close thornhil result number icon action sequenc
The Philadelphia Story,classic romant comedi focus traci lord katharin hepburn philadelphia socialit split husband dexter cari grant due drink over demand natur traci prepar wed wealthi georg kittredg john howard cross path dexter pri report macaulay connor jame stewart unclear feel three men traci must decid truli love
12 Angry Men,follow close argument murder trial 12 member juri must deliber guilti verdict mean death accus teen dozen men tri reach unanim decis sequest room one juror henri fonda cast consider doubt element case person issu soon rise surfac conflict threaten derail delic process decid one boy fate
Bride of Frankenstein,recov injuri sustain mob attack upon creation frankenstein colin clive fall control former mentor pretorius ernest thesig insist doctor resum experi creat new life meanwhil monster bori karloff remain run wish destroy without understand intent general good despit lack social
Chinatown,los angel privat eye jake gitt jack nicholson hire evelyn mulwray investig husband activ believ routin infidel case jake investig soon becom anyth routin meet real mulwray fay dunaway realiz hire impost mulwray sudden death set gitt tangl trail corrupt deceit sinist famili secret evelyn father john huston becom suspect case
A Streetcar Named Desire,base play tennesse william renown drama follow troubl former schoolteach blanch duboi vivien leigh leav mississippi move sister stella kowalski kim hunter husband stanley marlon brando new orlean blanch flirtati presenc caus problem stella stanley alreadi volatil relationship lead even greater conflict kowalski household
The Lady Eve,accid wealthi charl henri fonda fall jean barbara stanwyck jean con artist sight set charl fortun matter complic jean start fall mark charl suspect jean gold digger dump jean fixat reveng still pine millionair devis plan get back charl life love payback mind charl time aristocrat name ladi eve sidwich
The Lady Vanishes,train head england group travel delay avalanch hole hotel fiction european countri young iri margaret lockwood befriend elder miss froy dame may whitti train resum iri suffer bout unconsci wake find old woman disappear passeng omin deni miss froy ever exist iri begin investig anoth travel michael redgrav pair sleuth romant spark fli
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,film could happen wrong person push wrong button play situat laugh air forc general jack ripper goe complet insan send bomber wing destroy think communist conspir pollut precious bodili fluid american peopl
An American in Paris,jerri mulligan gene kelli american stay pari becom painter fall gamin charm lise bouvier lesli caron howev paint come attent milo robert rich american heiress interest art
The Thin Man,recent divorc gilbert discov new girlfriend stolen carri men long afterward disappear anxious locat father gilbert daughter goe privat detect nick charl help
Kind Hearts and Coronets,mother elop italian opera singer loui mazzini denni price cut aristocrat famili famili refus let buri famili mausoleum loui aveng mother death attempt murder everi famili member play alec guin stand famili fortun find torn longtim love joan greenwood widow one victim valeri hobson plan go awri
Touch of Evil,car bomb explod american side border mexican drug enforc agent miguel varga charlton heston begin investig along american polic captain hank quinlan orson well varga begin suspect quinlan shadi partner menzi joseph calleia plant evid frame innoc man investig possibl corrupt quick put new bride susi janet leigh jeopardi
His Girl Friday,new york newspap editor walter burn cari grant discov investig report hildi johnson rosalind russel gotten engag milquetoast insur agent bruce baldwin ralph bellami unsuccess tri lure away tame domest life stori impend execut convict murder earl william hildi discov william may innoc report instinct take
Frankenstein,icon horror film follow obsess scientist henri frankenstein colin clive attempt creat life assembl creatur bodi part deceas aid loyal misshapen assist fritz dwight frye frankenstein succeed anim monster bori karloff confus traumat escap countrysid begin wreak havoc frankenstein search elus eventu must confront torment creation
It's a Wonderful Life,georg bailey jame stewart wish never born angel henri traver sent earth make georg wish come true georg start realiz mani live chang impact would differ never
Vertigo,hitchcock romant stori obsess manipul fear detect forc retir fear height caus death fellow offic girl hire follow see doubl girl caus transform imag onto dead girl bodi lead cycl mad lie
The Grapes of Wrath,joad clan introduc world john steinbeck icon novel look better life california farm seiz bank famili led son tom henri fonda load truck head west road beset hardship joad meet dozen famili make trek hold onto dream california howev joad soon realiz promis land quit hope
The Gold Rush,classic silent comedi littl tramp charl chaplin head north join klondik gold rush trap small cabin blizzard tramp forc share close quarter success prospector mack swain fugit tom murray eventu abl leav cabin fall love barmaid georgia hale tri valiant win affect prospector need help locat claim appear tramp fortun may chang
The Last Picture Show,high school senior best friend sonni timothi bottom duan jeff bridg live die texa town handsom duan date local beauti jaci cybil shepherd sonni affair coach wife ruth clori leachman graduat near boy contempl futur duan eye armi sonni take local busi boy struggl figur escap town build better life somewher els
The Big Sleep,privat investig philip marlow humphrey bogart hire general sternwood help resolv gambl debt wild young daughter carmen martha vicker sternwood older daughter vivian lauren bacal provid assist impli situat complex also involv casino owner john ridg recent disappear famili friend peopl link sternwood start murder marlow find get ever deeper case
Scarface,key lieuten south side chicago crime boss johnni lovo osgood perkin toni camont paul muni ambiti reckless gangster ignor warn mess irish gang north side north side retali toni essenti massacr leav top world worri toni overconfid howev johnni order kill also backfir toni find even closer becom king citi
Rear Window,newspap photograph broken leg pass time recuper observ neighbor window see believ murder decid solv crime help nurs wife tri catch murder without kill
The Red Shoes,classic drama vicki page moira shearer aspir ballerina torn dedic danc desir love imperi instructor bori lermontov anton walbrook urg forget anyth ballet vicki begin fall charm young compos julian craster marius gore eventu vicki great emot stress must choos pursu either art romanc decis carri serious consequ
Cool Hand Luke,petti crimin luke jackson paul newman sentenc two year florida prison farm play rule either sadist warden strother martin yard resid heavi draglin georg kennedi end admir new guy unbreak luke bravado even face repeat stint prison dread solitari confin cell box make rebel hero fellow convict thorn side prison offic
Invasion of the Body Snatchers,santa mira california mile bennel kevin mccarthi baffl patient come complaint love one seem replac emotionless impostor despit other dismiss denial bennel former girlfriend becki dana wynter friend jack king donovan soon discov patient suspicion true alien speci human duplic grown pod take small town
City Lights,hapless resili tramp charli chaplin fall love blind flower girl virginia cherril tough citi street upon learn grandmoth evict home tramp undertak seri attempt provid money need end humili failur drunken millionair harri myer lavish reward save life tramp chang flower girl life forev
Anatomy of a Murder,michigan lawyer paul biegler jame stewart take case armi manion ben gazzara murder local innkeep wife lee remick claim rape cours extens trial biegler parri district attorney lodwick brook west prosecutor claud dancer georg scott set client free case rest victim mysteri busi partner kathryn grant hide dark secret
The Best Years of Our Lives,fred al homer three world war ii veteran face difficulti civilian life fred dana andrew war hero unabl compet high skill worker return soda jerk job bank execut al fredric march get troubl offer favor loan veteran lose hand war homer harold russel return love fiancé must struggl adjust
Roman Holiday,overwhelm suffoc schedul tour european princess ann audrey hepburn take night rome sedat took doctor kick howev fall asleep park bench found american report joe bradley gregori peck take back apart safeti work next morn joe find ann regal ident bet editor get exclus interview romanc soon get way
Gone With the Wind,present origin releas includ theme charact depict may offens problemat contemporari audienc epic civil war drama focus life petul southern bell scarlett start idyl life sprawl plantat film trace surviv tragic histori south civil war reconstruct tangl love affair ashley wilk rhett butler
Sweet Smell of Success,new york citi newspap writer hunseck burt lancast hold consider sway public opinion broadway column one thing ca control younger sister susan susan harrison relationship aspir jazz guitarist steve dalla marti milner hunseck strong disprov romanc recruit publicist sidney falco toni curti find way split coupl matter ruthless method
Freaks,trapez artist cleopatra olga baclanova learn circus midget han harri earl inherit marri lovesick diminut perform plan steal fortun run lover strong man hercul henri victor han friend fellow perform discov go band togeth carri brutal reveng leav hercul cleopatra know truli mean freak
In a Lonely Place,hollywood screenwrit dixon steel humphrey bogart neighbor laurel gloria graham get know romant polic begin question dixon involv murder girl met certain new love interest innoc laurel stand dixon polic continu press dixon begin act increas errat blossom love affair suffer laurel begin wonder dixon realli might killer
2001: A Space Odyssey,impos black structur provid connect past futur enigmat adapt short stori rever author arthur clark dave bowman keir dullea astronaut sent mysteri mission ship comput system hal begin display increas strang behavior lead tens showdown man machin result trek space time
Night of the Living Dead,dispar group individu take refug abandon hous corps begin leav graveyard search fresh human bodi devour pragmat ben duan jone best control situat reanim bodi surround hous survivor begin panic semblanc order within group begin dissip zombi start find way insid one one live human becom prey deceas one
Notorious,order help bring nazi justic govern agent devlin cari grant recruit alicia huberman ingrid bergman american daughter convict german war crimin spi begin fall one anoth alicia instruct win affect alexand sebastian claud rain nazi hide brazil sebastian becom serious relationship alicia stake get higher devlin must watch slip undercov
The Lost Weekend,writer birnam ray milland wagon sober day suppos spend weekend brother wick phillip terri eager drink convinc girlfriend jane wyman take wick show meanwhil head local bar miss train town recount bartend howard da silva develop drink problem goe bender might prove last
Miracle on 34th Street,christma classic old man go name kris kringl edmund gwenn fill intox santa maci annual thanksgiv day parad kringl prove hit soon appear regular chain main store midtown manhattan kringl surpris custom employe alik claim realli santa claus lead court case determin mental health import authent
The Day the Earth Stood Still,ufo land washington bear messag earth leader human stand still klaatu michael renni come behalf alien life watch cold nuclear prolifer earth klaatu robot gort present immedi threat onlook singl mother patricia neal son teach world peac toler moral fabl oust tank soldier greet alien arriv
Gentlemen Prefer Blondes,lorelei lee marilyn monro beauti showgirl engag marri wealthi gus esmond tommi noonan much disapprov gus rich father esmond think lorelei money lorelei goe cruis accompani best friend dorothi shaw jane russel esmond hire erni malon elliott reid privat detect follow report question behavior would disqualifi marriag
Detour,new york piano player al robert tom neal lament singer girlfriend sue harvey claudia drake leav hollywood al get money decid hitchhik california join sue arizona al accept ride charl haskel edmund macdonald storm freak accid haskel kill frighten al assum haskel ident car soon come upon mysteri vera ann savag seem know true ident
Rosemary's Baby,young wife come believ offspr world waifish rosemari woodhous mia farrow struggl actor husband guy john cassavet move new york citi apart build omin reput odd neighbor roman minni castavet sidney blackmer ruth gordon rosemari becom pregnant becom increas isol diabol truth reveal rosemari give birth
Repulsion,roman polanski first film beauti young manicurist carol catherin deneuv suffer androphobia patholog fear interact men sister roommat helen yvonn furneaux leav london flat go italian holiday marri boyfriend ian hendri carol withdraw apart begin experi fright hallucin fear gradual mutat mad
The Invisible Man,research new drug jack griffin claud rain stumbl potion make invis reveal new abil old mentor henri traver fiancé gloria stuart clear side effect potion insan jack goe violent rampag polic struggl hunt unabl see target mentor former partner william harrigan desper tri devis plan captur
Kiss Me Deadly,one even privat detect mike hammer ralph meeker pick strang woman christina clori leachman stand highway wear trench coat stop farther stranger knock mike murder christina although warn investig polic mike girlfriend assist velda maxin cooper becom ensnar dark plot involv scientist soberin albert dekker christina terrifi roommat lili gabi rodger
Stormy Weather,bill williamson bill robinson struggl perform meet beauti vocalist name selina roger lena horn bill promis togeth becom success howev selina skyrocket fame lose contact fortun bill might get one chanc woo selina huge music stage show popular entertain 1940s includ fat waller cab calloway perform film
